ChEMBL_ID,Name,Smiles
CHEMBL472561,FLUROCITABINE,N=c1nc2n(cc1F)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O2
CHEMBL4802236,TROXACITABINE MONOPHOSPHATE,Nc1ccn([C@@H]2CO[C@H](COP(=O)(O)O)O2)c(=O)n1
CHEMBL2106813,GALOCITABINE,COc1cc(C(=O)Nc2nc(=O)n([C@@H]3O[C@H](C)[C@@H](O)[C@H]3O)cc2F)cc(OC)c1OC
CHEMBL283639,DISOXARIL,Cc1cc(CCCCCCCOc2ccc(C3=NCCO3)cc2)on1
CHEMBL1412614,ANCITABINE,N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12
CHEMBL272557,FIACITABINE,Nc1nc(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)cc1I
CHEMBL2107810,VALTORCITABINE DIHYDROCHLORIDE,CC(C)[C@H](N)C(=O)O[C@@H]1C[C@@H](n2ccc(N)nc2=O)O[C@H]1CO.Cl.Cl
CHEMBL554563,TORCITABINE,Nc1ccn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)n1
CHEMBL29609,PLECONARIL,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1
CHEMBL1773,CAPECITABINE,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F
CHEMBL3417258,LUMICITABINE,CC(C)C(=O)OC[C@@]1(CCl)O[C@@H](n2ccc(N)nc2=O)[C@H](F)[C@@H]1OC(=O)C(C)C
CHEMBL3989496,TEZACITABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)/C2=C\F)c(=O)n1.O
CHEMBL46917,CARBARIL,CNC(=O)Oc1cccc2ccccc12
CHEMBL1257073,TECOVIRIMAT,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1
CHEMBL109831,DEXELVUCITABINE,Nc1nc(=O)n([C@H]2C=C[C@@H](CO)O2)cc1F
CHEMBL5315121,TECOVIRIMAT MONOHYDRATE,O.O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1
CHEMBL888,GEMCITABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
CHEMBL393820,VALOPICITABINE,CC(C)[C@H](N)C(=O)O[C@@H]1[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@]1(C)O
CHEMBL853,ZALCITABINE,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1
CHEMBL2105467,TEZACITABINE ANHYDROUS,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)/C2=C\F)c(=O)n1
CHEMBL210651,APRICITABINE,Nc1ccn([C@H]2CO[C@@H](CO)S2)c(=O)n1
CHEMBL38700,ELVUCITABINE,Nc1nc(=O)n([C@@H]2C=C[C@H](CO)O2)cc1F
CHEMBL2105681,SAPACITABINE,CCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2C#N)c(=O)n1
CHEMBL359164,TROXACITABINE,Nc1ccn([C@@H]2CO[C@H](CO)O2)c(=O)n1
CHEMBL2106499,VALTORCITABINE,CC(C)[C@H](N)C(=O)O[C@@H]1C[C@@H](n2ccc(N)nc2=O)O[C@H]1CO
CHEMBL562967,MERICITABINE,CC(C)C(=O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(F)[C@@H]1OC(=O)C(C)C
CHEMBL1743757,VALOPICITABINE DIHYDROCHLORIDE,CC(C)[C@H](N)C(=O)O[C@@H]1[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@]1(C)O.Cl.Cl
CHEMBL2104340,IBACITABINE,Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
CHEMBL885,EMTRICITABINE,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F
CHEMBL2064455,RODUCITABINE,Nc1ccn([C@@H]2C(F)=C(CO)[C@@H](O)[C@H]2O)c(=O)n1
CHEMBL1637,GEMCITABINE HYDROCHLORIDE,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
CHEMBL1201129,DECITABINE,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
